date, pm25, pm10, o3, no2, so2, co
2018/2/5, , 11, 26, 6, 2, 
2018/2/6, , 10, 20, 18, 2, 
2018/2/7, , 13, 18, 19, 2, 
2018/2/8, , 15, 32, 10, 2, 
2018/2/9, , 11, 31, 7, 2, 
2018/2/10, , 10, 35, 4, 2, 
2018/2/11, , 5, 32, 8, 2, 
2018/2/12, , 7, 26, 8, 2, 
2018/2/13, , 7, 22, 9, 2, 
2018/2/14, , 6, 21, 7, 2, 
2018/2/15, , 6, 17, 14, 2, 
2018/2/16, , 25, 36, 3, 2, 
2018/2/17, , 10, 33, 6, 2, 
2018/2/18, , 10, 35, 2, 1, 
2018/2/19, , 10, 34, 2, 1, 
2018/2/20, , 11, 33, 3, 2, 
2018/2/21, , 18, 32, 9, 2, 
2018/2/22, , 26, 24, 15, 2, 
2018/2/23, , 27, 32, 12, 3, 
2018/2/24, , 27, 35, 8, 2, 
2018/2/25, , 28, 34, 9, 3, 
2018/2/26, , 21, 32, 12, 3, 
2018/2/27, , 19, 29, 13, 2, 
2018/2/28, , 19, 33, 5, 2, 
2018/3/1, , 7, 34, 6, , 
2018/3/2, , 7, 38, 4, , 
2018/3/3, , 6, 36, 6, 2, 
2018/3/4, , 6, 35, 5, 2, 
2018/3/5, , 6, 36, 7, 2, 
2018/3/6, , 7, 36, 9, 2, 
2018/3/7, , 9, 33, 7, 2, 
2018/3/8, , 10, 30, 4, , 
2018/3/9, , 7, 32, 3, , 
2018/3/10, , 4, 37, 2, , 
2018/3/11, , 5, 38, 5, , 
2018/3/12, , 11, 30, 14, , 
2018/3/13, , 14, 40, 4, , 
2018/3/14, , 10, 42, 4, 1, 
2018/3/15, , 7, 35, 8, , 
2018/3/16, , 7, 40, 7, , 
2018/3/17, , 9, 35, 6, , 
2018/3/18, , 10, 38, 6, , 
2018/3/19, , 11, 37, 5, , 
2018/3/20, , 16, 40, 6, 1, 
2018/3/21, , 17, 40, 10, 1, 
2018/3/22, , 16, 32, 17, 1, 
2018/3/23, , 15, 38, 5, , 
2018/3/24, , 9, 37, 3, , 
2018/3/25, , 6, 39, 4, , 
2018/3/26, , 13, 28, 7, 1, 
2018/3/27, , 11, 32, 8, 3, 
2018/3/28, , 16, 38, 11, , 
2018/3/29, , 11, 41, 3, , 
2018/3/30, , 10, 42, 2, , 
2018/3/31, , 8, 36, 6, 1, 
2017/10/1, , 8, 19, 8, 1, 
2017/10/2, , 6, 9, 7, , 
2017/10/3, , 7, 10, 8, , 
2017/10/4, , 13, 5, 8, , 
2017/10/5, , 14, 22, 22, 1, 
2017/10/6, , 6, 27, 8, 1, 
2017/10/7, , 6, 11, 8, 1, 
2017/10/8, , 4, 25, 9, 1, 
2017/10/9, , 7, 15, 13, 1, 
2017/10/10, , 10, 27, 9, 1, 
2017/10/11, , 16, 13, 6, 1, 
2017/10/12, , 18, 29, 19, 1, 
2017/10/13, , 30, 29, 8, 1, 
2017/10/14, , 25, 32, , 1, 
2017/10/15, , 19, 32, , 1, 
2017/10/16, , 23, 30, , 1, 
2017/10/17, , 21, 23, 15, 1, 
2017/10/18, , 19, 25, 14, 1, 
2017/10/19, , 10, 20, 14, 1, 
2017/10/20, , 11, 29, , 1, 
2017/10/21, , 11, 26, , 1, 
2017/10/22, , 7, 17, 12, 1, 
2017/10/23, , 11, 9, 17, 2, 
2017/10/24, , 14, 17, 16, 2, 
2017/10/25, , 19, 28, 8, 1, 
2017/10/26, , 18, 28, 15, 2, 
2017/10/27, , 17, 27, 12, 2, 
2017/10/28, , 13, 26, 6, 1, 
2017/10/29, , 8, 26, 14, 1, 
2017/10/30, , 6, 16, 14, 2, 
2017/10/31, , 14, 28, 17, , 
2017/11/1, , 11, 29, , 1, 
2017/11/2, , 12, 28, 20, 1, 
2017/11/3, , 12, 26, 13, 1, 
2017/11/4, , 13, 33, , 1, 
2017/11/5, , 8, 27, 16, 1, 
2017/11/6, , 8, 18, 16, 2, 
2017/11/7, , 10, 32, 15, 1, 
2017/11/8, , 7, 29, 17, 1, 
2017/11/9, , 8, 31, 17, , 
2017/11/10, , 6, 31, , , 
2017/11/11, , 4, 29, , , 
2017/11/12, , 8, 30, 11, 1, 
2017/11/13, , 10, 20, 14, 2, 
2017/11/14, , 12, 14, 14, 2, 
2017/11/15, , 15, 11, 15, 2, 
2017/11/16, , 17, 19, 15, 2, 
2017/11/17, , 20, 13, 12, 2, 
2017/11/18, , 16, 20, 11, 2, 
2017/11/19, , 12, 6, 15, 2, 
2017/11/20, , 19, 6, 17, 2, 
2017/11/21, , 12, , , , 
2017/11/23, , 17, 24, 15, 2, 
2017/11/24, , 13, 29, , 2, 
2017/11/25, , 8, 21, 12, 2, 
2017/11/26, , 7, 8, 18, 2, 
2017/11/27, , 12, 20, 14, 3, 
2017/11/28, , 10, 19, 18, 2, 
2017/11/29, , 6, 14, 18, 2, 
2017/11/30, , 7, 19, 20, 2, 
2017/12/1, , 9, 19, 16, 2, 
2017/12/2, , 10, 8, 13, 2, 
2017/12/3, , 16, 4, 21, 2, 
2017/12/4, , 15, 9, 17, 3, 
2017/12/5, , 14, 9, 14, 2, 
2017/12/6, , 14, 15, 18, 5, 
2017/12/7, , 14, 26, 16, 2, 
2017/12/8, , 11, 26, 14, 2, 
2017/12/9, , 9, 24, 12, 2, 
2017/12/10, , 8, 30, 15, 2, 
2017/12/11, , 5, 25, 16, 2, 
2017/12/12, , 9, 16, 14, 3, 
2017/12/13, , 8, 27, 16, 2, 
2017/12/14, , 9, 31, 11, 2, 
2017/12/15, , 10, 30, , , 
2017/12/16, , 11, , , , 
2017/12/18, , 9, 19, 18, 2, 
2017/12/19, , 13, 15, 16, 1, 
2017/12/20, , 16, 18, 18, 2, 
2017/12/21, , 18, 7, 20, 1, 
2017/12/22, , 16, 15, 10, 1, 
2017/12/23, , 7, 15, 8, 1, 
2017/12/24, , 9, 21, 7, 2, 
2017/12/25, , 7, 25, 12, 2, 
2017/12/26, , 5, 30, 4, 1, 
2017/12/27, , 12, 31, 12, 1, 
2017/12/28, , 9, 27, 14, 1, 
2017/12/29, , 10, 21, 9, 1, 
2017/12/30, , 5, 29, 4, 1, 
2017/12/31, , 18, 32, 5, 2, 
2017/7/1, , 9, 23, 5, 1, 
2017/7/2, , 9, 10, 5, , 
2017/7/3, , 7, 28, 8, , 
2017/7/4, , 13, 35, 7, 1, 
2017/7/5, , 16, 21, 6, , 
2017/7/6, , 15, 21, 5, , 
2017/7/7, , 14, 29, 2, , 
2017/7/8, , 8, 23, 2, 1, 
2017/7/9, , 16, 15, 5, 1, 
2017/7/10, , 7, 19, 5, 1, 
2017/7/11, , 8, 18, 6, 1, 
2017/7/12, , 13, 18, 3, , 
2017/7/13, , 5, 29, 4, , 
2017/7/14, , 7, 22, 3, , 
2017/7/15, , 9, 33, 6, 1, 
2017/7/16, , 14, 35, 13, 1, 
2017/7/17, , 22, 35, 4, , 
2017/7/18, , 21, 30, 3, 1, 
2017/7/19, , 17, 20, 6, , 
2017/7/20, , 8, 20, 7, 1, 
2017/7/21, , 11, 24, 5, 1, 
2017/7/22, , 11, 25, 4, , 
2017/7/23, , 11, 21, 2, , 
2017/7/24, , 5, 26, 2, , 
2017/7/25, , 9, 25, 8, 1, 
2017/7/26, , 12, 33, 6, , 
2017/7/27, , 14, 21, 3, , 
2017/7/28, , 7, 28, 6, , 
2017/7/29, , 15, 19, 7, , 
2017/7/30, , 10, 24, 4, , 
2017/7/31, , 10, 22, 6, 1, 
2017/8/1, , 9, 21, 5, 1, 
2017/8/2, , 9, 27, 6, 1, 
2017/8/3, , 13, 17, 5, , 
2017/8/4, , 12, 24, 4, , 
2017/8/5, , 8, 26, 3, 1, 
2017/8/6, , 9, 31, 7, 1, 
2017/8/7, , 14, 24, 6, , 
2017/8/8, , 8, 29, 5, , 
2017/8/9, , 8, 32, 2, , 
2017/8/10, , 10, 27, 6, 1, 
2017/8/11, , 10, 30, 4, , 
2017/8/12, , 10, 26, 5, , 
2017/8/13, , 11, 35, 6, , 
2017/8/14, , 17, 22, 2, , 
2017/8/15, , 10, 18, 6, , 
2017/8/16, , 8, 25, 4, 1, 
2017/8/17, , 10, 23, 7, 1, 
2017/8/18, , 9, 24, 3, , 
2017/8/19, , 9, 27, 4, 1, 
2017/8/20, , 13, 34, 7, 1, 
2017/8/21, , 16, 35, 5, 1, 
2017/8/22, , 23, 22, 4, 1, 
2017/8/23, , 18, 24, 3, 1, 
2017/8/24, , 16, 22, 4, 1, 
2017/8/25, , 13, 24, 3, 1, 
2017/8/26, , 11, 24, 6, 1, 
2017/8/27, , 15, 19, 11, 1, 
2017/8/28, , 16, 25, 7, 1, 
2017/8/29, , 10, 26, 5, 1, 
2017/8/30, , 13, 28, 6, 1, 
2017/8/31, , 9, 28, 5, 1, 
2017/9/1, , 9, 27, 4, 1, 
2017/9/2, , 8, 30, 5, , 
2017/9/3, , 11, 18, 4, 1, 
2017/9/4, , 11, 21, 5, , 
2017/9/5, , 8, , , , 
2017/9/10, , 12, 27, 3, 1, 
2017/9/11, , 12, 23, 6, 2, 
2017/9/12, , 8, 20, 5, 1, 
2017/9/13, , 10, 23, 5, 1, 
2017/9/14, , 11, 24, 7, 1, 
2017/9/15, , 8, 26, 7, , 
2017/9/16, , 6, 27, 8, 3, 
2017/9/17, , 8, 24, 8, , 
2017/9/18, , 7, 29, 12, 1, 
2017/9/19, , 7, 21, 10, , 
2017/9/20, , 8, 31, 9, 1, 
2017/9/21, , 13, 25, 11, , 
2017/9/22, , 11, 32, 9, , 
2017/9/23, , 15, 34, 6, 1, 
