date, pm25, pm10, o3, no2, so2, co
2020/4/26, 55, 13, 29, 1, 1, 1
2020/4/27, 29, 11, 29, 1, , 
2020/4/28, 25, 16, 27, , 1, 
2020/4/29, 28, 20, 25, , 1, 
2020/4/30, 31, 4, 16, , 1, 1
2020/5/1, 14, 8, 13, , 1, 1
2020/5/2, 20, 12, 21, 1, 1, 1
2020/5/3, 34, 22, 29, 2, 1, 1
2020/5/4, 41, 19, 25, , 1, 1
2020/5/5, 37, 22, 21, 1, 1, 1
2020/5/6, 31, 21, 25, 2, 1, 1
2020/5/7, 42, 20, 27, 1, 1, 1
2020/5/8, 41, 13, 26, , 1, 1
2020/5/9, 23, 11, 26, , 1, 1
2020/5/10, 27, 10, 25, 2, 1, 1
2020/5/11, 20, 18, 23, 4, 1, 1
2020/5/12, 26, 17, 27, 4, 1, 2
2020/5/13, 38, 13, 21, 5, 1, 1
2020/5/14, 35, 16, 26, 3, , 1
2020/5/15, 30, 17, 32, 1, , 2
2020/5/16, 44, 19, 31, , , 1
2020/5/17, 45, 20, 31, 5, , 1
2020/5/18, 51, 20, 37, 7, , 1
2020/5/19, 51, 21, 29, 3, , 1
2020/5/20, 47, 22, 27, 4, , 2
2020/5/21, 45, 13, 22, 3, , 1
2020/5/22, 36, 20, 26, 1, , 1
2020/5/23, 38, 17, 25, 1, , 1
2020/5/24, 36, 23, 28, 6, , 3
2020/5/25, 51, 20, 24, 4, , 7
2020/5/26, 35, 19, 20, 5, 2, 7
2020/5/27, 47, 25, 21, 10, 2, 1
2020/5/28, 65, 31, 17, 10, 1, 
2020/5/29, 67, 27, 16, 4, 1, 
2020/5/30, 63, 21, 17, , 1, 1
2020/5/31, 48, 20, 25, 4, , 1
2020/6/1, 41, 28, 31, 7, 1, 1
2020/6/2, 61, 23, 17, 3, 1, 1
2020/6/3, 60, 23, 29, 7, 1, 6
2020/6/4, 47, 19, 27, 5, , 5
2020/6/5, 35, 10, 16, 2, , 1
2020/6/6, 29, 11, 30, 1, , 1
2020/6/7, 22, 13, 28, 4, , 1
2020/6/8, 24, 18, 28, 5, , 1
2020/6/9, 22, 25, 28, 5, , 1
2020/6/10, 33, 13, 24, 2, , 1
2020/6/11, 21, 21, 26, 4, , 1
2020/6/12, 37, 20, 29, 2, , 1
2020/6/13, 41, 14, 26, 1, , 1
2020/6/14, 29, 10, 18, 3, , 1
2020/6/15, 19, 9, 24, 3, , 1
2020/6/16, 15, 13, 24, 4, , 1
2020/6/17, 18, 11, 21, 4, , 1
2020/6/18, 22, 13, 23, 5, , 1
2020/6/19, 28, 9, 18, 2, , 1
2020/6/20, 29, 9, 11, 1, , 1
2020/6/21, 12, 21, 34, 9, , 1
2020/6/22, 38, 38, 34, 11, 1, 1
2020/6/23, 64, 34, 21, 3, , 1
2020/6/24, 74, 25, 22, 6, , 1
2020/6/25, 51, 14, 16, 3, , 1
2020/6/26, 28, 5, 10, 1, , 1
2020/6/27, 13, 6, 13, 1, , 1
2020/6/28, 18, 12, 19, 4, , 1
2020/6/29, 19, 10, 9, 6, 1, 1
2020/6/30, 27, , , , , 
2020/1/2, 85, 39, 11, 12, , 1
2020/1/3, 75, 33, 12, 16, , 1
2020/1/4, 54, 16, 12, 5, , 1
2020/1/5, 56, 19, 11, 4, , 1
2020/1/6, 65, 24, 15, 7, , 1
2020/1/7, 82, 33, 13, 13, , 1
2020/1/8, 90, 37, 8, 15, 1, 1
2020/1/9, 65, 35, 21, 10, 1, 1
2020/1/10, 64, 36, 16, 18, 1, 2
2020/1/11, 66, 31, 19, 13, 1, 1
2020/1/12, 81, 35, 25, 11, 1, 2
2020/1/13, 79, 40, 26, 7, 1, 1
2020/1/14, 46, 33, 29, , 1, 1
2020/1/15, 42, 25, 30, 11, 1, 2
2020/1/16, 47, 25, 27, 4, , 1
2020/1/17, 50, 32, 27, 14, , 1
2020/1/18, 33, 23, 26, 3, , 1
2020/1/19, 32, 13, 24, 2, , 1
2020/1/20, 27, 14, 25, 8, , 1
