date, pm25, pm10, o3, no2, so2, co
2019/6/26, 64, 46, 35, 17, 3, 
2019/6/27, 64, 35, 30, 15, 6, 
2019/6/28, 56, 25, 27, 10, 4, 
2019/6/29, 65, 19, 26, 6, 3, 
2019/6/30, 45, 18, 20, 10, 3, 
2019/1/1, 77, 18, 12, 18, 5, 
2019/1/2, 52, 19, 16, 17, 6, 
2019/1/3, 52, 28, 6, 21, 6, 
2019/1/4, 75, 30, 4, 24, 9, 
2019/1/5, 84, 23, 13, 18, 10, 
2019/1/6, 70, 17, 16, 19, 4, 
2019/1/7, 45, 23, 7, 23, 6, 
2019/1/8, 56, 18, 16, 22, 4, 
2019/1/9, 31, 17, 27, 23, 4, 
2019/1/10, 25, 30, 5, 29, 5, 
2019/1/11, 74, 24, 6, 24, 6, 
2019/1/12, 66, 19, 10, 20, 5, 
2019/1/13, 50, 16, 19, 23, 5, 
2019/1/14, 53, 18, 17, 22, 6, 
2019/1/15, 49, 26, 13, 20, 6, 
2019/1/16, 66, 17, 16, 22, 5, 
2019/1/17, 52, 18, 9, 22, 6, 
2019/1/18, 52, 13, 19, 12, 4, 
2019/1/19, 42, 11, 22, 20, 5, 
2019/1/20, 24, 18, 20, 22, 5, 
2019/1/21, 28, 17, 16, 23, 5, 
2019/1/22, 47, 15, 27, 15, 4, 
2019/1/23, 20, 14, 25, 27, 5, 
2019/1/24, 24, 14, 22, 22, 5, 
2019/1/25, 27, 16, 15, 25, 6, 
2019/1/26, 39, 17, 31, 9, 5, 
2019/1/27, 26, 16, 31, 14, 5, 
2019/1/28, 19, 15, 30, 12, 5, 
2019/1/29, 24, 12, 31, 16, 5, 
2019/1/30, 25, 10, 20, 19, 5, 
2019/1/31, 19, 12, 27, 18, 5, 
2019/2/1, 25, 17, 30, 13, 5, 
2019/2/2, 25, 17, 27, 14, 5, 
2019/2/3, 25, 18, 11, 24, 6, 
2019/2/4, 49, 26, 11, 25, 5, 
2019/2/5, 57, 39, 4, 24, 4, 
2019/2/6, 66, 33, 12, 24, 3, 
2019/2/7, 58, 30, 15, 23, 4, 
2019/2/8, 61, 22, 26, 18, 2, 
2019/2/9, 46, 13, 31, 14, 2, 
2019/2/10, 22, 18, 26, 26, 2, 
2019/2/11, 33, 24, 5, 25, 3, 
2019/2/12, 59, 35, 6, 27, 6, 
2019/2/13, 68, 44, 26, 28, 2, 
2019/2/14, 62, 30, 28, 29, 2, 
2019/2/15, 51, 26, 31, 22, 4, 
2019/2/16, 56, , 32, 13, 2, 
2019/2/17, 45, , 31, 26, 2, 
2019/2/18, 50, , 28, 24, 2, 
