date, pm25, pm10, o3, no2, so2, co
2020/10/26, 26, 29, 15, 16, 1, 1
2020/10/27, 32, 27, 14, 10, 1, 1
2020/10/28, 31, 29, 9, 12, 1, 1
2020/10/29, 44, 27, 7, 10, 1, 1
2020/10/30, 40, 26, 10, 8, 1, 1
2020/10/31, 43, 14, 13, 5, 1, 1
2020/11/1, 10, 17, 11, 10, 1, 1
2020/11/2, 18, 22, 22, 7, 1, 1
2020/11/3, 28, 21, 22, 8, 1, 1
2020/11/4, 29, 27, 23, 10, 1, 1
2020/11/5, 30, 31, 8, 16, 2, 1
2020/11/6, 39, 19, 12, 11, 2, 1
2020/11/7, 25, 16, 17, 6, 1, 1
2020/11/8, 17, 24, 12, 10, 1, 1
2020/11/9, 26, 34, 6, 10, 1, 1
2020/11/10, 46, 26, 12, 9, 2, 1
2020/11/11, 51, 31, 8, 12, 2, 1
2020/11/12, 42, 27, 16, 11, 1, 1
2020/11/13, 44, 25, 14, 7, 2, 1
2020/11/14, 41, 11, 16, 5, 1, 1
2020/11/15, 11, 31, 6, 8, 1, 1
2020/11/16, 35, 22, 7, 8, 1, 1
2020/11/17, 35, 30, 11, 11, 1, 1
2020/11/18, 41, 26, 16, 8, 1, 1
2020/11/19, 44, 21, 13, 6, 1, 1
2020/11/20, 31, 22, 7, 7, 1, 1
2020/11/21, 48, 26, 4, 9, 1, 1
2020/11/22, 60, 41, 1, 12, 1, 2
2020/11/23, 88, 36, , 10, 2, 2
2020/11/24, 74, 22, 6, 13, 2, 1
2020/11/25, 48, 24, 3, 11, 2, 1
2020/11/26, 45, 35, , 10, 2, 2
2020/11/27, 61, 23, 20, 8, 3, 1
2020/11/28, 41, 21, 16, 8, 2, 1
2020/11/29, 36, 28, 6, 12, 1, 1
2020/11/30, 40, 34, 1, 10, 2, 1
2020/12/1, 58, 24, 13, 12, 1, 1
2020/12/2, 47, 23, 22, 10, 2, 1
2020/12/3, 51, 15, 17, 11, 2, 1
2020/12/4, 30, 20, 11, 10, 2, 1
2020/12/5, 52, 17, 9, 7, 2, 1
2020/12/6, 39, 20, 17, 12, 2, 1
2020/12/7, 35, 17, 16, 6, 1, 1
2020/12/8, 37, 39, 3, 13, 2, 2
2020/12/9, 80, 53, , 23, 3, 6
2020/12/10, 116, 24, 16, 14, 2, 1
2020/12/11, 34, 40, 13, 10, 2, 1
2020/12/12, 53, 19, , 8, 2, 1
2020/12/13, 28, 16, 15, 14, 2, 1
2020/12/14, 31, 20, 17, 15, 2, 1
2020/12/15, 37, 22, 19, 13, 2, 1
2020/12/16, 39, 31, 10, 13, 2, 1
2020/12/17, 56, 16, 14, 8, 2, 1
2020/12/18, 30, 26, 7, 13, 2, 2
2020/12/19, 45, 28, 7, 10, 1, 2
2020/12/20, 47, 28, 4, 18, 2, 2
2020/12/21, 42, 24, 6, 12, 2, 1
2020/12/22, 32, 21, 14, 12, 1, 1
2020/12/23, 38, 20, 7, 8, 1, 1
2020/12/24, 44, 12, 19, 4, 1, 1
2020/12/25, 26, 22, 10, 9, 1, 1
2020/12/26, 53, 23, 28, 6, 2, 1
2020/12/27, 54, 25, 22, 14, 2, 1
2020/12/28, 38, 22, 17, 13, 2, 1
2020/12/29, 46, 24, 4, 11, 1, 2
2020/12/30, 54, 18, 21, 12, 1, 2
2020/12/31, 45, 16, 10, 6, 2, 1
2021/1/1, 46, 22, 9, 6, 1, 1
2021/1/2, 50, 20, 5, 6, 1, 2
2021/1/3, 52, 23, 7, 9, 2, 2
2020/7/1, 7, 20, 26, 6, , 1
2020/7/2, 11, 19, 27, 6, , 1
